player,runs,balls_faced,fours,sixes,wickets,balls_bowled,runs_given,strike_rate,economy_rate,batting_points,bowling_points,total_points
DA Warner,6567,4849,663,236,0,2,2,135.4299855640338,6.0,7714,0,7714
TS Mills,8,14,0,1,11,218,349,57.14285714285714,9.605504587155965,10,277,287
S Dhawan,6769,5483,768,153,4,49,72,123.45431333211744,8.816326530612246,7855,100,7955
A Choudhary,25,20,1,1,5,108,144,125.0,8.0,32,131,163
MC Henriques,1000,801,87,28,46,979,1302,124.84394506866415,7.979570990806946,1155,1156,2311
YS Chahal,37,89,0,0,213,3628,4681,41.57303370786517,7.741455347298787,35,5331,5366
S Aravind,59,59,7,0,48,788,1057,100.0,8.048223350253807,72,1204,1276
SR Watson,3880,2892,377,190,107,2137,2742,134.1632088520055,7.698642957416939,4649,2681,7330
TM Head,772,458,76,40,3,58,113,168.5589519650655,11.689655172413794,942,69,1011
STR Binny,880,700,66,35,28,611,763,125.71428571428572,7.4926350245499185,1028,706,1734
Yuvraj Singh,2754,2207,218,149,39,882,1091,124.78477571363842,7.421768707482993,3282,981,4263
DJ Hooda,1466,1170,96,61,10,384,535,125.2991452991453,8.359375,1696,254,1950
BCJ Cutting,238,146,15,19,12,288,430,163.013698630137,8.958333333333334,305,304,609
CH Gayle,4997,3516,408,359,19,584,755,142.1217292377702,7.756849315068494,6137,481,6618
A Nehra,41,63,3,1,121,1974,2537,65.07936507936508,7.711246200607903,46,3031,3077
Mandeep Singh,1706,1418,176,38,0,12,26,120.31029619181946,13.0,1970,0,1970
B Kumar,306,338,30,3,195,4060,5051,90.53254437869822,7.464532019704434,350,4881,5231
Rashid Khan,545,355,39,38,157,2901,3340,153.52112676056336,6.907962771458118,674,3933,4607
KM Jadhav,1208,1012,102,40,0,0,0,119.36758893280631,,1400,0,1400
Sachin Baby,144,123,11,5,3,10,8,117.07317073170732,4.8,175,75,250
Bipul Sharma,187,124,11,9,22,436,581,150.80645161290323,7.995412844036696,230,556,786
PA Patel,2848,2442,365,49,0,0,0,116.62571662571663,,3321,0,3321
AB Dinda,26,50,2,0,82,1589,2103,52.0,7.940843297671492,28,2056,2084
JC Buttler,3583,2519,356,161,0,0,0,142.23898372369987,,4275,0,4275
DL Chahar,80,61,2,6,79,1746,2243,131.14754098360655,7.707903780068729,102,1981,2083
BA Stokes,935,718,81,32,31,723,1023,130.22284122562675,8.489626556016598,1092,779,1871
Imran Tahir,33,37,5,0,86,1340,1729,89.1891891891892,7.741791044776119,38,2156,2194
RG Sharma,6630,5183,599,281,16,349,462,127.91819409608335,7.94269340974212,7803,406,8209
N Rana,2636,2015,234,132,10,185,253,130.81885856079404,8.205405405405406,3146,254,3400
AT Rayudu,4348,3490,359,173,0,0,0,124.58452722063038,,5065,0,5065
A Zampa,15,25,1,0,30,425,562,60.0,7.934117647058824,16,756,772
R Bhatia,342,290,24,13,82,1661,2059,117.9310344827586,7.437688139674895,402,2056,2458
KH Pandya,1647,1287,144,61,80,2183,2644,127.97202797202796,7.267063673843335,1925,2006,3931
KA Pollard,3437,2447,221,224,81,1586,2200,140.45770331017573,8.32282471626734,4120,2029,6149
HH Pandya,2534,1814,189,137,70,1485,2196,139.69128996692393,8.872727272727273,3009,1754,4763
TG Southee,120,108,8,4,57,1262,1774,111.11111111111111,8.434231378763867,146,1429,1575
AM Rahane,4642,3858,479,103,1,6,5,120.32141005702437,5.0,5339,25,5364
