player,runs,balls_faced,fours,sixes,wickets,balls_bowled,runs_given,strike_rate,economy_rate
DA Warner,6567,4849,663,236,0,2,2,135.4299855640338,6.0
TS Mills,8,14,0,1,11,218,349,57.14285714285714,9.605504587155963
S Dhawan,6769,5483,768,153,4,49,72,123.45431333211745,8.816326530612246
A Choudhary,25,20,1,1,5,108,144,125.0,8.0
MC Henriques,1000,801,87,28,46,979,1302,124.84394506866417,7.9795709908069465
YS Chahal,37,89,0,0,213,3628,4681,41.57303370786517,7.741455347298787
S Aravind,59,59,7,0,48,788,1057,100.0,8.048223350253807
SR Watson,3880,2892,377,190,107,2137,2742,134.1632088520055,7.698642957416939
TM Head,772,458,76,40,3,58,113,168.5589519650655,11.689655172413794
STR Binny,880,700,66,35,28,611,763,125.71428571428571,7.4926350245499185
Yuvraj Singh,2754,2207,218,149,39,882,1091,124.78477571363842,7.421768707482993
DJ Hooda,1466,1170,96,61,10,384,535,125.2991452991453,8.359375
BCJ Cutting,238,146,15,19,12,288,430,163.013698630137,8.958333333333334
CH Gayle,4997,3516,408,359,19,584,755,142.1217292377702,7.756849315068494
A Nehra,41,63,3,1,121,1974,2537,65.07936507936508,7.711246200607903
Mandeep Singh,1706,1418,176,38,0,12,26,120.31029619181946,13.0
B Kumar,306,338,30,3,195,4060,5051,90.53254437869822,7.464532019704434
Rashid Khan,545,355,39,38,157,2901,3340,153.52112676056336,6.907962771458118
KM Jadhav,1208,1012,102,40,0,0,0,119.36758893280633,
Sachin Baby,144,123,11,5,3,10,8,117.07317073170731,4.8
Bipul Sharma,187,124,11,9,22,436,581,150.80645161290323,7.9954128440366965
PA Patel,2848,2442,365,49,0,0,0,116.62571662571663,
AB Dinda,26,50,2,0,82,1589,2103,52.0,7.940843297671492
JC Buttler,3583,2519,356,161,0,0,0,142.23898372369987,
DL Chahar,80,61,2,6,79,1746,2243,131.14754098360655,7.707903780068729
BA Stokes,935,718,81,32,31,723,1023,130.22284122562675,8.489626556016598
Imran Tahir,33,37,5,0,86,1340,1729,89.1891891891892,7.741791044776119
RG Sharma,6630,5183,599,281,16,349,462,127.91819409608335,7.9426934097421205
N Rana,2636,2015,234,132,10,185,253,130.81885856079404,8.205405405405406
AT Rayudu,4348,3490,359,173,0,0,0,124.58452722063038,
A Zampa,15,25,1,0,30,425,562,60.0,7.934117647058824
R Bhatia,342,290,24,13,82,1661,2059,117.9310344827586,7.437688139674895
KH Pandya,1647,1287,144,61,80,2183,2644,127.97202797202797,7.267063673843335
KA Pollard,3437,2447,221,224,81,1586,2200,140.45770331017573,8.32282471626734
HH Pandya,2534,1814,189,137,70,1485,2196,139.69128996692393,8.872727272727273
TG Southee,120,108,8,4,57,1262,1774,111.11111111111111,8.434231378763867
AM Rahane,4642,3858,479,103,1,6,5,120.32141005702437,5.0
MA Agarwal,2669,2081,265,98,0,0,0,128.25564632388276,
MJ McClenaghan,85,73,5,7,75,1346,1839,116.43835616438356,8.197622585438335
SPD Smith,2495,1999,226,60,0,2,5,124.81240620310155,15.0
JJ Bumrah,68,80,5,1,182,3185,3840,85.0,7.233908948194662
MS Dhoni,5243,3947,363,252,0,0,0,132.8350646060299,
JJ Roy,614,460,75,21,0,0,0,133.47826086956522,
TA Boult,83,82,5,3,128,2428,3286,101.21951219512195,8.120263591433279
BB McCullum,2882,2272,293,130,0,0,0,126.84859154929578,
PP Chawla,624,580,56,20,201,3895,5179,107.58620689655172,7.977920410783056
SP Narine,1534,984,164,97,200,4146,4672,155.8943089430894,6.7612156295224315
SK Raina,5536,4177,506,204,30,930,1139,132.53531242518554,7.348387096774194
CR Woakes,78,77,7,2,31,463,674,101.29870129870129,8.734341252699783
Kuldeep Yadav,183,224,16,3,90,1786,2413,81.69642857142857,8.106382978723405
