team,matches_played,wins,venues
Sunrisers Hyderabad,182,87,"defaultdict(<class 'int'>, {'Rajiv Gandhi International Stadium, Uppal': 30, 'Wankhede Stadium': 7, 'Eden Gardens': 8, 'Maharashtra Cricket Association Stadium': 3, 'Punjab Cricket Association IS Bindra Stadium, Mohali': 2, 'Feroz Shah Kotla': 6, 'Green Park': 1, 'M Chinnaswamy Stadium': 6, 'Rajiv Gandhi International Stadium': 14, 'Punjab Cricket Association IS Bindra Stadium': 2, 'Sawai Mansingh Stadium': 3, 'Arun Jaitley Stadium': 2, 'M.Chinnaswamy Stadium': 2, 'MA Chidambaram Stadium': 1, 'Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium': 6, 'Sharjah Cricket Stadium': 7, 'Dubai International Cricket Stadium': 13, 'Sheikh Zayed Stadium': 6, 'MA Chidambaram Stadium, Chepauk, Chennai': 9, 'Arun Jaitley Stadium, Delhi': 4, 'Zayed Cricket Stadium, Abu Dhabi': 2, 'Maharashtra Cricket Association Stadium, Pune': 3, 'Dr DY Patil Sports Academy, Mumbai': 4, 'Brabourne Stadium, Mumbai': 3, 'Wankhede Stadium, Mumbai': 6, 'Rajiv Gandhi International Stadium, Uppal, Hyderabad': 13, 'Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow': 1, 'Eden Gardens, Kolkata': 2, 'Sawai Mansingh Stadium, Jaipur': 1, 'Narendra Modi Stadium, Ahmedabad': 3, 'Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur': 1, 'M Chinnaswamy Stadium, Bengaluru': 1, 'MA Chidambaram Stadium, Chepauk': 2, 'Punjab Cricket Association Stadium, Mohali': 2, 'Sardar Patel Stadium, Motera': 1, 'JSCA International Stadium Complex': 1, 'Brabourne Stadium': 1, 'Shaheed Veer Narayan Singh International Stadium': 2, 'Saurashtra Cricket Association Stadium': 1})"
Royal Challengers Bangalore,240,114,"defaultdict(<class 'int'>, {'Rajiv Gandhi International Stadium, Uppal': 8, 'M.Chinnaswamy Stadium': 15, 'Holkar Cricket Stadium': 2, 'M Chinnaswamy Stadium': 61, 'Saurashtra Cricket Association Stadium': 2, 'Eden Gardens': 10, 'Maharashtra Cricket Association Stadium': 4, 'Wankhede Stadium': 10, 'Feroz Shah Kotla': 7, 'Rajiv Gandhi International Stadium': 2, 'Arun Jaitley Stadium': 2, 'Sawai Mansingh Stadium': 7, 'MA Chidambaram Stadium': 1, 'Punjab Cricket Association IS Bindra Stadium': 1, 'Sheikh Zayed Stadium': 6, 'Sharjah Cricket Stadium': 8, 'Dubai International Cricket Stadium': 12, 'MA Chidambaram Stadium, Chepauk, Chennai': 3, 'Wankhede Stadium, Mumbai': 7, 'Narendra Modi Stadium, Ahmedabad': 3, 'Zayed Cricket Stadium, Abu Dhabi': 2, 'Dr DY Patil Sports Academy, Mumbai': 4, 'Maharashtra Cricket Association Stadium, Pune': 3, 'Brabourne Stadium, Mumbai': 3, 'Eden Gardens, Kolkata': 2, 'M Chinnaswamy Stadium, Bengaluru': 7, 'Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh': 1, 'Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow': 1, 'Arun Jaitley Stadium, Delhi': 1, 'Sawai Mansingh Stadium, Jaipur': 1, 'Rajiv Gandhi International Stadium, Uppal, Hyderabad': 1, 'Punjab Cricket Association Stadium, Mohali': 5, 'MA Chidambaram Stadium, Chepauk': 8, 'Newlands': 2, ""St George's Park"": 3, 'Kingsmead': 4, 'New Wanderers Stadium': 4, 'SuperSport Park': 3, 'Brabourne Stadium': 1, 'Vidarbha Cricket Association Stadium, Jamtha': 1, 'Dr DY Patil Sports Academy': 2, 'Nehru Stadium': 1, 'Himachal Pradesh Cricket Association Stadium': 1, 'Subrata Roy Sahara Stadium': 2, 'JSCA International Stadium Complex': 3, 'Sardar Patel Stadium, Motera': 1, 'Punjab Cricket Association IS Bindra Stadium, Mohali': 1, 'Shaheed Veer Narayan Singh International Stadium': 1})"
Rising Pune Supergiant,16,10,"defaultdict(<class 'int'>, {'Maharashtra Cricket Association Stadium': 7, 'Holkar Cricket Stadium': 1, 'Saurashtra Cricket Association Stadium': 1, 'M Chinnaswamy Stadium': 1, 'Wankhede Stadium': 2, 'Eden Gardens': 1, 'Rajiv Gandhi International Stadium, Uppal': 2, 'Feroz Shah Kotla': 1})"
Mumbai Indians,261,142,"defaultdict(<class 'int'>, {'Maharashtra Cricket Association Stadium': 3, 'Wankhede Stadium': 67, 'M Chinnaswamy Stadium': 10, 'Holkar Cricket Stadium': 2, 'Saurashtra Cricket Association Stadium': 1, 'Feroz Shah Kotla': 9, 'Rajiv Gandhi International Stadium, Uppal': 8, 'Eden Gardens': 13, 'Rajiv Gandhi International Stadium': 3, 'Sawai Mansingh Stadium': 7, 'M.Chinnaswamy Stadium': 2, 'Arun Jaitley Stadium': 2, 'Punjab Cricket Association IS Bindra Stadium': 1, 'MA Chidambaram Stadium': 2, 'Sheikh Zayed Stadium': 9, 'Sharjah Cricket Stadium': 6, 'Dubai International Cricket Stadium': 10, 'MA Chidambaram Stadium, Chepauk, Chennai': 7, 'Arun Jaitley Stadium, Delhi': 4, 'Zayed Cricket Stadium, Abu Dhabi': 3, 'Brabourne Stadium, Mumbai': 4, 'Dr DY Patil Sports Academy, Mumbai': 4, 'Maharashtra Cricket Association Stadium, Pune': 3, 'Wankhede Stadium, Mumbai': 18, 'M Chinnaswamy Stadium, Bengaluru': 1, 'Rajiv Gandhi International Stadium, Uppal, Hyderabad': 2, 'Narendra Modi Stadium, Ahmedabad': 3, 'Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh': 1, 'Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow': 2, 'Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur': 1, 'Sawai Mansingh Stadium, Jaipur': 1, 'Eden Gardens, Kolkata': 1, 'MA Chidambaram Stadium, Chepauk': 6, 'Punjab Cricket Association Stadium, Mohali': 6, 'Dr DY Patil Sports Academy': 7, 'Newlands': 1, 'Kingsmead': 3, ""St George's Park"": 3, 'Buffalo Park': 2, 'New Wanderers Stadium': 1, 'SuperSport Park': 3, 'Brabourne Stadium': 7, 'Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium': 4, 'Subrata Roy Sahara Stadium': 2, 'Himachal Pradesh Cricket Association Stadium': 1, 'Barabati Stadium': 1, 'Sardar Patel Stadium, Motera': 2, 'Punjab Cricket Association IS Bindra Stadium, Mohali': 1, 'Green Park': 1})"
Gujarat Lions,30,13,"defaultdict(<class 'int'>, {'Saurashtra Cricket Association Stadium': 10, 'Rajiv Gandhi International Stadium, Uppal': 2, 'Wankhede Stadium': 2, 'Eden Gardens': 2, 'M Chinnaswamy Stadium': 3, 'Maharashtra Cricket Association Stadium': 2, 'Feroz Shah Kotla': 3, 'Punjab Cricket Association IS Bindra Stadium, Mohali': 2, 'Green Park': 4})"
Kolkata Knight Riders,251,130,"defaultdict(<class 'int'>, {'Saurashtra Cricket Association Stadium': 1, 'Wankhede Stadium': 9, 'Eden Gardens': 74, 'Feroz Shah Kotla': 8, 'Maharashtra Cricket Association Stadium': 3, 'Rajiv Gandhi International Stadium, Uppal': 6, 'M Chinnaswamy Stadium': 11, 'Punjab Cricket Association IS Bindra Stadium, Mohali': 2, 'MA Chidambaram Stadium': 2, 'Sawai Mansingh Stadium': 6, 'Arun Jaitley Stadium': 2, 'M.Chinnaswamy Stadium': 2, 'Holkar Cricket Stadium': 1, 'Rajiv Gandhi International Stadium': 2, 'Punjab Cricket Association IS Bindra Stadium': 1, 'Sheikh Zayed Stadium': 11, 'Dubai International Cricket Stadium': 7, 'Sharjah Cricket Stadium': 8, 'MA Chidambaram Stadium, Chepauk, Chennai': 6, 'Wankhede Stadium, Mumbai': 8, 'Narendra Modi Stadium, Ahmedabad': 4, 'Zayed Cricket Stadium, Abu Dhabi': 3, 'Dr DY Patil Sports Academy, Mumbai': 4, 'Maharashtra Cricket Association Stadium, Pune': 3, 'Brabourne Stadium, Mumbai': 3, 'Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh': 1, 'Eden Gardens, Kolkata': 14, 'Arun Jaitley Stadium, Delhi': 1, 'M Chinnaswamy Stadium, Bengaluru': 2, 'Rajiv Gandhi International Stadium, Uppal, Hyderabad': 1, 'Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam': 1, 'Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow': 1, 'MA Chidambaram Stadium, Chepauk': 7, 'Punjab Cricket Association Stadium, Mohali': 4, 'Newlands': 2, 'Kingsmead': 4, ""St George's Park"": 2, 'Buffalo Park': 1, 'New Wanderers Stadium': 2, 'SuperSport Park': 2, 'Dr DY Patil Sports Academy': 2, 'Sardar Patel Stadium, Motera': 2, 'Brabourne Stadium': 2, 'Nehru Stadium': 1, 'Barabati Stadium': 3, 'Subrata Roy Sahara Stadium': 3, 'Shaheed Veer Narayan Singh International Stadium': 1, 'JSCA International Stadium Complex': 3, 'Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium': 1, 'Green Park': 1})"
Kings XI Punjab,190,85,"defaultdict(<class 'int'>, {'Holkar Cricket Stadium': 8, 'Eden Gardens': 11, 'Feroz Shah Kotla': 9, 'Rajiv Gandhi International Stadium, Uppal': 8, 'Saurashtra Cricket Association Stadium': 2, 'Punjab Cricket Association IS Bindra Stadium, Mohali': 11, 'M Chinnaswamy Stadium': 10, 'Wankhede Stadium': 11, 'Maharashtra Cricket Association Stadium': 5, 'Punjab Cricket Association IS Bindra Stadium': 10, 'M.Chinnaswamy Stadium': 2, 'Arun Jaitley Stadium': 2, 'Rajiv Gandhi International Stadium': 2, 'Sawai Mansingh Stadium': 6, 'MA Chidambaram Stadium': 1, 'Dubai International Cricket Stadium': 8, 'Sheikh Zayed Stadium': 6, 'Sharjah Cricket Stadium': 5, 'Punjab Cricket Association Stadium, Mohali': 35, 'MA Chidambaram Stadium, Chepauk': 5, 'Newlands': 2, 'Kingsmead': 6, ""St George's Park"": 1, 'SuperSport Park': 2, 'De Beers Diamond Oval': 1, 'OUTsurance Oval': 1, 'New Wanderers Stadium': 1, 'Barabati Stadium': 3, 'Brabourne Stadium': 1, 'Himachal Pradesh Cricket Association Stadium': 9, 'Dr DY Patil Sports Academy': 1, 'Subrata Roy Sahara Stadium': 2, 'Sardar Patel Stadium, Motera': 1, 'Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium': 2})"
Delhi Daredevils,161,67,"defaultdict(<class 'int'>, {'M.Chinnaswamy Stadium': 2, 'Maharashtra Cricket Association Stadium': 3, 'Feroz Shah Kotla': 56, 'Rajiv Gandhi International Stadium, Uppal': 6, 'Wankhede Stadium': 8, 'Eden Gardens': 8, 'Punjab Cricket Association IS Bindra Stadium, Mohali': 2, 'Green Park': 1, 'Punjab Cricket Association IS Bindra Stadium': 1, 'Sawai Mansingh Stadium': 5, 'Arun Jaitley Stadium': 7, 'Rajiv Gandhi International Stadium': 1, 'Punjab Cricket Association Stadium, Mohali': 3, 'MA Chidambaram Stadium, Chepauk': 7, 'Dr DY Patil Sports Academy': 2, 'M Chinnaswamy Stadium': 7, 'Newlands': 1, 'Kingsmead': 3, ""St George's Park"": 1, 'SuperSport Park': 4, 'New Wanderers Stadium': 3, 'Buffalo Park': 1, 'OUTsurance Oval': 2, 'Sardar Patel Stadium, Motera': 2, 'Barabati Stadium': 1, 'Brabourne Stadium': 2, 'Nehru Stadium': 1, 'Himachal Pradesh Cricket Association Stadium': 3, 'Subrata Roy Sahara Stadium': 3, 'Shaheed Veer Narayan Singh International Stadium': 6, 'Sharjah Cricket Stadium': 2, 'Dubai International Cricket Stadium': 2, 'Sheikh Zayed Stadium': 1, 'Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium': 3, 'Saurashtra Cricket Association Stadium': 1})"
Chennai Super Kings,238,138,"defaultdict(<class 'int'>, {'Wankhede Stadium': 14, 'MA Chidambaram Stadium': 9, 'Punjab Cricket Association IS Bindra Stadium': 2, 'Maharashtra Cricket Association Stadium': 6, 'Rajiv Gandhi International Stadium': 3, 'M.Chinnaswamy Stadium': 2, 'Eden Gardens': 11, 'Sawai Mansingh Stadium': 6, 'Arun Jaitley Stadium': 2, 'Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium': 2, 'Sheikh Zayed Stadium': 6, 'Sharjah Cricket Stadium': 6, 'Dubai International Cricket Stadium': 14, 'Wankhede Stadium, Mumbai': 11, 'Arun Jaitley Stadium, Delhi': 3, 'Zayed Cricket Stadium, Abu Dhabi': 2, 'Brabourne Stadium, Mumbai': 4, 'Dr DY Patil Sports Academy, Mumbai': 4, 'Maharashtra Cricket Association Stadium, Pune': 3, 'Narendra Modi Stadium, Ahmedabad': 3, 'MA Chidambaram Stadium, Chepauk, Chennai': 15, 'M Chinnaswamy Stadium, Bengaluru': 2, 'Eden Gardens, Kolkata': 1, 'Sawai Mansingh Stadium, Jaipur': 1, 'Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow': 2, 'Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam': 1, 'Rajiv Gandhi International Stadium, Uppal, Hyderabad': 1, 'Himachal Pradesh Cricket Association Stadium, Dharamsala': 1, 'Punjab Cricket Association Stadium, Mohali': 4, 'MA Chidambaram Stadium, Chepauk': 47, 'M Chinnaswamy Stadium': 7, 'Feroz Shah Kotla': 6, 'Rajiv Gandhi International Stadium, Uppal': 3, 'Dr DY Patil Sports Academy': 4, 'Newlands': 1, ""St George's Park"": 2, 'Kingsmead': 4, 'SuperSport Park': 3, 'New Wanderers Stadium': 2, 'Buffalo Park': 1, 'De Beers Diamond Oval': 1, 'Sardar Patel Stadium, Motera': 2, 'Vidarbha Cricket Association Stadium, Jamtha': 1, 'Himachal Pradesh Cricket Association Stadium': 2, 'Nehru Stadium': 1, 'Subrata Roy Sahara Stadium': 2, 'JSCA International Stadium Complex': 5, 'Barabati Stadium': 1, 'Brabourne Stadium': 1, 'Shaheed Veer Narayan Singh International Stadium': 1})"
Rajasthan Royals,221,110,"defaultdict(<class 'int'>, {'Rajiv Gandhi International Stadium': 2, 'Sawai Mansingh Stadium': 47, 'M.Chinnaswamy Stadium': 2, 'Maharashtra Cricket Association Stadium': 3, 'Arun Jaitley Stadium': 2, 'Holkar Cricket Stadium': 2, 'Wankhede Stadium': 8, 'Eden Gardens': 9, 'MA Chidambaram Stadium': 1, 'Punjab Cricket Association IS Bindra Stadium': 1, 'Sharjah Cricket Stadium': 6, 'Dubai International Cricket Stadium': 10, 'Sheikh Zayed Stadium': 8, 'Wankhede Stadium, Mumbai': 12, 'Arun Jaitley Stadium, Delhi': 3, 'Zayed Cricket Stadium, Abu Dhabi': 2, 'Maharashtra Cricket Association Stadium, Pune': 2, 'Dr DY Patil Sports Academy, Mumbai': 4, 'Brabourne Stadium, Mumbai': 3, 'Eden Gardens, Kolkata': 3, 'Narendra Modi Stadium, Ahmedabad': 4, 'Rajiv Gandhi International Stadium, Uppal, Hyderabad': 2, 'Barsapara Cricket Stadium, Guwahati': 3, 'MA Chidambaram Stadium, Chepauk, Chennai': 3, 'Sawai Mansingh Stadium, Jaipur': 10, 'M Chinnaswamy Stadium, Bengaluru': 1, 'Himachal Pradesh Cricket Association Stadium, Dharamsala': 1, 'Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur': 1, 'Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow': 1, 'Feroz Shah Kotla': 7, 'Rajiv Gandhi International Stadium, Uppal': 4, 'M Chinnaswamy Stadium': 6, 'Dr DY Patil Sports Academy': 2, 'Punjab Cricket Association Stadium, Mohali': 6, 'MA Chidambaram Stadium, Chepauk': 6, 'Newlands': 3, 'SuperSport Park': 3, ""St George's Park"": 1, 'Kingsmead': 3, 'De Beers Diamond Oval': 2, 'OUTsurance Oval': 1, 'Brabourne Stadium': 4, 'Sardar Patel Stadium, Motera': 12, 'Vidarbha Cricket Association Stadium, Jamtha': 1, 'Subrata Roy Sahara Stadium': 2, 'JSCA International Stadium Complex': 1, 'Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium': 1})"
